segmentIndex,startWindow,endWindow,quality,smoothedRmse,smoothedCorr,smoothedStdRatio,smoothedLowRecall,lowEventRatio,rawCorr,classicCorr,rawWindowClassicCorr,beat15Rmse,beat30Rmse,beat60Rmse,beat15Corr,beat30Corr,beat60Corr,beat15StdRatio,beat30StdRatio,beat60StdRatio,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,meanBeat15RedPI,meanBeat30RedPI,meanBeat60RedPI,meanBeat15IRPI,meanBeat30IRPI,meanBeat60IRPI,meanBeat15GreenPI,meanBeat30GreenPI,meanBeat60GreenPI,meanRedPI,meanIRPI,meanProjectionGuardRatio,meanConfidence,spo2Min,spo2Max
21,6001,6300,Failed,2.15756327070018,-0.269441259771132,0.238553187354609,NaN,0,-0.146754531235379,-0.149492290711952,-0.225148777427151,2.17756959981456,2.1800083686961,2.1984692048084,-0.276148011587797,-0.426584825156871,-0.363312139675892,0.320799440343893,0.249815976053801,0.221108564109298,NaN,NaN,NaN,15.6966666666667,31.37,62.75,1,1,1,0.00662601311127438,0.00659015277938058,0.00662144911246594,0.0123581651097842,0.0122555413923946,0.0122636717246899,0.0159721103457796,0.0158774934308234,0.0158884594033093,0.00719577301759273,0.0134082913088302,149985.382916667,0.959647439718247,95,97
22,6301,6600,Failed,1.44944236108269,-0.371904192267204,0.100648577426983,0,0.0133333333333333,-0.05607017217021,-0.0569010080487644,-0.0688251431933048,1.4362950566227,1.44636608138449,1.43715426372606,-0.0715508120032909,-0.307848008614865,-0.266628322566257,0.257041292532846,0.160686154965052,0.105328067725449,0,0,0,15.4166666666667,30.8766666666667,61.9033333333333,1,1,1,0.00631697958181964,0.00632324138434282,0.0063353182265087,0.0119114106350748,0.0119658239228428,0.0120000896515734,0.0157270555230715,0.0157374096007917,0.015704726918252,0.00680113969991604,0.012836252246052,149981.392916667,0.963215150038401,92,97
23,6601,6900,Failed,1.87717642409092,-0.419967830051184,0.196503130047349,0,0.14,-0.13227805113581,-0.125740338531125,-0.0725224522259119,1.88045423285579,1.84044078448039,1.81844387991382,-0.160884036478288,-0.26484080689405,-0.326136364171315,0.323709188486139,0.216827350930117,0.168088812061031,0,0,0,15.2066666666667,30.4066666666667,60.74,1,1,1,0.00539035445469485,0.00540466612334221,0.00544636712411178,0.010416096279358,0.0103975244967047,0.0104596833744686,0.0145279973198683,0.0144765497501605,0.0145041023565071,0.00574137642824401,0.0110955801699311,149951.235885417,0.960935799280802,90,97
24,6901,7200,Failed,1.95932054694578,0.0316157838248323,0.0674313794973282,0,0.156666666666667,-0.00519466107068836,-0.0227996472948267,0.0590816116480134,1.95224854392518,2.00131148986776,1.94472059088487,0.0602274364598191,-0.342333186799755,0.138153450104589,0.0896110930081295,0.0634046596352889,0.0541101642437566,0,0,0,15.33,30.68,61.4466666666667,1,1,1,0.00526093598727431,0.00527291369965186,0.0053260219731522,0.0101169822539714,0.01014126307359,0.0102574434222381,0.0149079837266243,0.0148953017373165,0.0149047452919234,0.00557505199763303,0.0107290174486116,149986.854739583,0.962226204673449,89,97
25,7201,7500,Failed,3.07897287598504,-0.323810908070667,0.129270924728524,0,0.36,-0.0796642467020809,-0.0771323704029061,-0.0472118762171658,3.0524572481823,3.09626227963736,3.01746946673596,-0.0231567352622985,-0.334367144988924,-0.120381663573883,0.179880625074253,0.140507593450734,0.115876786062525,0,0,0,15.1333333333333,30.2333333333333,60.4333333333333,1,1,1,0.00459677273235822,0.00457560002570261,0.00459085760058988,0.0089086663323884,0.00893603337531392,0.00894075899818298,0.0141597833805066,0.014115127912551,0.0140698918244162,0.00485857322773275,0.00945515548034261,149969.0484375,0.961097291906675,88,97
26,7501,7800,Failed,2.20837039755098,-0.223058233936378,0.0973415587486683,0,0.22,0.375879228762921,0.366397651951965,0.213582593310942,2.1214600544796,2.21479536225929,2.18527548343557,0.131069066612095,-0.305443163037199,-0.144034623085479,0.159339670844049,0.116284320494052,0.0910173124809673,0,0,0,15.1666666666667,30.33,60.63,1,1,1,0.00495852325185693,0.00495403743578241,0.00485019838412814,0.00957107084780899,0.00959950161703593,0.00944911543618458,0.0149800819284747,0.0149138822391664,0.014797276256888,0.00535033956558133,0.0103423905729627,149975.240520833,0.96343787252903,89,97
27,7801,8100,Failed,3.37249090601548,-0.411727026194821,0.293848261796678,0,0.38,-0.0203916586004321,-0.0132979002736092,-0.00746894750814999,3.36106955467297,3.38473181928142,3.18619571878547,-0.105815911148873,-0.332150744695607,-0.430449571074825,0.355782856210067,0.290485209686165,0.153301263721056,0,0,0,15.2533333333333,30.43,60.5666666666667,1,1,1,0.0040442263576521,0.00412731898815539,0.00431279083970696,0.00795163518896886,0.00812471486502635,0.00844891537743342,0.0135623744581956,0.0136707358188538,0.0139404744912421,0.00428437407749395,0.00840961618892228,149913.295677083,0.95606716076533,88,96
28,8101,8400,Failed,2.86759748017513,-0.486312588196738,0.245551030041077,0,0.216666666666667,-0.149792946924369,-0.142468743223355,0.127977849503634,2.7863271435827,2.77488718552019,2.62079656889912,-0.385762231616785,-0.539366293073779,-0.303697982588635,0.248370187407306,0.19778845941319,0.1400325398436,0,0,0,17.5566666666667,35.3066666666667,70.4966666666667,1,1,1,0.00460962985178455,0.00434793717519448,0.00404793063647601,0.00905206472034414,0.00858466530302198,0.00796511353862339,0.0157953304380442,0.0144878448542406,0.012648674229096,0.0058354864444118,0.0114170419347162,149736.866041667,0.957624738017718,88,97
29,8401,8700,Failed,2.19889161995923,-0.0408344459023113,0.360394154249404,0,0.16,0.207951822371331,0.274647322020771,-0.115541672410826,1.94495483967622,1.90706184949861,1.91713095007136,0.30305880699032,0.37758445076545,0.318947424377118,0.386816591969463,0.299984564365826,0.127844309571578,0,0,0,15.9366666666667,31.7933333333333,63.95,1,1,1,0.00692953673849049,0.0070154032274563,0.00733300663400088,0.0140733454147204,0.0141631270490698,0.0148603824339272,0.0296700223031913,0.0298145082510829,0.0315675426442735,0.00777950949423636,0.0156576263012054,149462.729661458,0.932405547897021,90,97
30,8701,9000,Failed,3.41285275088068,-0.249981097695276,0.198328577625471,0,0.13,0.180806073411138,0.205968841777622,0.234838339290572,3.26067074094477,3.18901755698874,3.25667537472429,0.200724823067167,0.243454635794873,-0.145539290664444,0.309948093778001,0.209650212700394,0.137824052956826,0,0,0,15.33,30.74,61.5266666666667,1,1,1,0.0053997080593543,0.00545397635322765,0.00529587233346103,0.0105965482040462,0.010707131870851,0.0103823442977978,0.0204347044361942,0.0202532440437997,0.0195262557110202,0.00565167297492735,0.0110729420262699,149876.6165625,0.943446811238925,87,95
31,9001,9300,Borderline,1.57225762503591,0.558526058170244,1.0043870033482,NaN,0,-0.0646315851399016,-0.0337967951852102,-0.02678311958945,1.72758039643708,1.63957095316447,1.43909459885243,0.0360476528440282,0.215335839369867,0.467227478783528,0.984432641993546,0.966071736217618,0.749793638538356,NaN,NaN,NaN,14.7233333333333,29.3866666666667,58.95,1,1,1,0.00682970214618386,0.00667417431301948,0.00656165511661306,0.0128352334833367,0.0125775716959701,0.0123703592387936,0.0194099776494488,0.0188466381441699,0.0186746299794924,0.00784343949790734,0.0149003757955506,149755.054140625,0.930710812012355,93,97
32,9301,9600,Borderline,0.978764899082971,0.661878983963104,0.328208318556853,1,0.08,-0.264668909000346,-0.262004155444047,-0.307430871810795,1.15291687728834,0.999045860135124,0.979161279469813,-0.126977279545743,0.46481124347674,0.397788719919778,0.422850312098663,0.338288765195908,0.23750577289729,0.416666666666667,0.708333333333333,1,14.49,28.97,57.9166666666667,1,1,1,0.00758972596525987,0.00768661598291777,0.00782890614172086,0.0140332700991719,0.0142323556765971,0.0144314239356598,0.0210339677796842,0.0210353512121743,0.0211539542746903,0.00748404110471408,0.0138228327470521,149986.963229167,0.93789933125178,92,95
33,9601,9900,Borderline,0.779031686102908,0.364276043021443,0.363247043682375,NaN,0,-0.161373478810507,-0.153993151813331,-0.191011587439711,0.825240812200125,0.756222328462525,0.722338009020992,0.107092610011881,0.455532779055912,0.441377096755266,0.624005200088045,0.476271490409402,0.30256681130337,NaN,NaN,NaN,14.31,28.6533333333333,57.35,1,1,1,0.0072105786070305,0.00725974695301055,0.00738122015651539,0.0135515521139327,0.0136518871676183,0.0138801328115211,0.0211926284930563,0.0211516733903018,0.0212367601898539,0.00703834421467036,0.0132200070749968,149983.77625,0.935838572184245,93,95
34,9901,10200,Borderline,0.721342822467556,0.616609114056399,0.551631479761274,NaN,0,-0.265772285785233,-0.265512868434835,-0.261308961396282,0.891619235674086,0.709264282068663,0.709440746098648,-0.119013009836794,0.405631629083539,0.238535064299681,0.729483687765909,0.511603841944887,0.20580907624055,NaN,NaN,NaN,14.2233333333333,28.4633333333333,57.0466666666667,1,1,1,0.00670299743994526,0.00675773993366325,0.00681938836270804,0.0126873941385618,0.0128043056898646,0.0129134703951569,0.0207825382072285,0.0208124577240764,0.0207999509873728,0.00660126268863678,0.0125155700712154,149984.306458333,0.937956848343213,93,96
35,10201,10500,Failed,0.726309273332952,0.083316464331894,0.552301408766523,NaN,0,-0.202727370960903,-0.203431444266088,-0.228473421745404,0.675521411857774,0.61986892179212,0.619581301167613,-0.00551323629926757,0.228896043029405,0.239217379608244,1.07565611031939,0.616967845584148,0.394038311806542,NaN,NaN,NaN,14.15,28.2666666666667,56.4233333333333,1,1,1,0.00648819037864706,0.00651753021239309,0.0065547577956261,0.0122933153665408,0.0123416998888931,0.0124504331367329,0.0206111575883585,0.020625031853424,0.0205627589444039,0.00644435057726999,0.0122214483842254,149992.928229167,0.941491405367851,94,95
36,10501,10800,Failed,0.800294784981669,0.214292662486121,0.632791848945252,NaN,0,-0.0507017790126355,-0.0598478538576448,-0.135011453045814,0.83588001629963,0.749899775051893,0.723714199357296,-0.0246431964389025,0.219195023979664,0.0605575757651034,0.864599322255186,0.713452899482436,0.577897265879977,NaN,NaN,NaN,14.2033333333333,28.4333333333333,56.9,1,1,1,0.00622412083078787,0.0063055447466515,0.00638327739873447,0.0119284408036645,0.0121076472062822,0.0122233040057957,0.0208689763812141,0.0209239229734173,0.0209821669201355,0.00613052170490846,0.0117894102508823,149980.254114583,0.9394332498312,94,95
37,10801,11100,Failed,1.48776871266266,0.168058591466576,0.170869197036762,NaN,0,0.262015068520722,0.259054218864659,0.0973423494732055,1.52225574663419,1.52211020355247,1.54368158289809,0.273317888590342,0.257741629557576,0.170340692599688,0.20614844050314,0.180516571641357,0.138137031132574,NaN,NaN,NaN,14.2066666666667,28.41,56.8666666666667,1,1,1,0.00632472756655526,0.00632087403458265,0.00627097988017742,0.0122010020851849,0.0122321495806742,0.0121338803470493,0.0205477945230896,0.0204855687232099,0.0204282222670345,0.00632235700109353,0.0122241725601877,149939.886979167,0.938717427452405,94,98
38,11101,11400,Failed,2.22523169996363,-0.250047002680386,0.314764358774665,NaN,0,0.0661011768315386,0.064086181022609,-0.0163799344187715,2.27123164089951,2.27777210964184,2.28249877788744,0.254394678847336,0.0355540436453611,0.0449297960507,0.467322030794236,0.316372167021605,0.205711357867337,NaN,NaN,NaN,14.0733333333333,28.1433333333333,56.2533333333333,1,1,1,0.00625148302094621,0.00632930740844513,0.00635333042405484,0.012132721972409,0.0122974553230206,0.0123559471887657,0.0206197137894511,0.0205637547020709,0.0206193033101533,0.00615958099020645,0.0119484869219984,149981.089947917,0.94069273074468,96,98
39,11401,11700,Failed,2.10292237594844,-0.0343218094276322,0.277268207786658,NaN,0,-0.000365065421238586,0.000102531074457018,0.027611603386263,2.22755636776485,2.21860989524056,2.17787874896615,0.0690384645982849,-0.0721405519988958,0.0553669985298462,0.448724000241855,0.348539607014879,0.258168819454795,NaN,NaN,NaN,14.2433333333333,28.49,56.9666666666667,1,1,1,0.00627198710360309,0.00632500632569931,0.00630127715458569,0.0121724226841248,0.0122577938897834,0.0122550087794349,0.0208759955839511,0.0208632048459679,0.0208394917292871,0.00620235798725237,0.0120288801938295,149984.60390625,0.940212637782097,96,98
