segmentIndex,startWindow,endWindow,centerMinutes,currentRmse,beat15Rmse,beat30Rmse,beat60Rmse,currentCorr,beat15Corr,beat30Corr,beat60Corr,currentRSnrDb,beat15RSnrDb,beat30RSnrDb,beat60RSnrDb,currentLowRecall,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,beat30ClassValue,beat30Quality,spo2Min,spo2Max
21,6001,6300,102.491666666667,0.328176170227993,0.452910608432363,0.34328660860989,0.34893479466848,0.262408882841727,-0.107513524403126,0.191233558868231,0.0870507378541336,-11.3106207837115,-19.320244845965,-14.2069182732971,-21.17151543896,NaN,NaN,NaN,NaN,22.69,45.09,90.17,1,1,1,1,Failed,96,97
22,6301,6600,107.491666666667,1.49344036021538,1.7654077781392,1.6460821806399,1.42945225179824,-0.0579623442760349,-0.265770607788907,-0.269567543880011,-0.00599642311090402,-24.7223940132497,-11.1917287352827,-11.0590067041875,-44.441998451225,NaN,NaN,NaN,NaN,18.7033333333333,37.78,76.3766666666667,1,1,1,1,Failed,94,97
23,6601,6900,112.491666666667,1.00904267574565,1.08045100266068,1.02417309911511,0.962562864566323,0.778461749885765,0.0840898095401171,0.283665389501008,0.637203737439943,1.86983132142477,-21.4743141544764,-10.5795506685927,-1.65208902929208,NaN,NaN,NaN,NaN,20.59,40.93,80.88,1,1,1,1,Failed,94,96
24,6901,7200,117.491666666667,0.918608654721006,1.05256748600926,0.918219099094465,0.890124499983494,0.342264987370793,0.0794231109686171,0.374076306578355,0.29835940782306,-8.77161399585873,-21.9735799169544,-7.88611839471152,-10.1003016257668,NaN,NaN,NaN,NaN,22.01,44.2933333333333,89.2733333333333,1,1,1,2,Borderline,94,95
25,7201,7500,122.491666666667,0.779821781074121,0.790407214548335,0.806462951415282,0.69482396691113,0.435020991528108,0.0417855882374231,-0.0594332054394119,0.398043645184116,-6.31871534592183,-27.5718800301978,-24.5040491545003,-7.25224343897518,NaN,NaN,NaN,NaN,17.7133333333333,35.3866666666667,70.7366666666667,1,1,1,1,Failed,95,96
26,7501,7800,127.491666666667,1.28231602141175,1.42786457359543,1.33796776738581,1.26886024539201,0.429184225542341,-0.246459591161006,-0.0207368128596032,0.287287503273366,-6.4629658547759,-11.8929330273964,-33.6632918976341,-10.4595645699715,NaN,NaN,NaN,NaN,19.5366666666667,38.9266666666667,77.3266666666667,1,1,1,1,Failed,94,96
27,7801,8100,132.491666666667,1.11684137677378,1.14472282886701,1.13597804075931,1.11079587151807,0.445040363952809,-0.0446740743948413,0.234430015914248,0.237112098334353,-6.07340768545408,-26.9902125456975,-12.3542493684351,-12.2496235404715,NaN,NaN,NaN,NaN,21.6366666666667,43.0533333333333,85.6,1,1,1,1,Failed,95,96
28,8101,8400,137.491666666667,1.33208005265274,1.40822507534734,1.32647228692411,1.30712952227039,0.511544256309849,-0.218021560858402,-0.0831209275278466,-0.0259863522266677,-4.504836531898,-13.0185086578809,-21.5756824578002,-31.702159845766,NaN,NaN,NaN,NaN,21.16,42.8633333333333,87.1133333333333,1,1,1,1,Failed,95,96
29,8401,8700,142.491666666667,2.16534021696488,2.33522956297604,2.20608708293262,2.2126982662833,0.619181894572103,0.123212592104973,0.438031707126865,0.616061810592032,-2.06375839140007,-18.1204607918239,-6.24469178093844,-2.13470704202108,NaN,NaN,NaN,NaN,17.0266666666667,33.9466666666667,67.9666666666667,1,1,1,2,Borderline,93,96
30,8701,9000,147.491666666667,2.3591320257792,2.36748680333423,2.30914492841878,2.25004102552345,0.437271985520616,-0.117783070911241,0.256633368082291,0.527476308768512,-6.26332840162774,-18.5176716851084,-11.5178540284638,-4.13992154191574,0,0,0,0,18.7833333333333,37.73,75.1966666666667,1,1,1,1,Failed,92,95
31,9001,9300,152.491666666667,1.73411484954358,1.85195190216379,1.77944699159209,1.85562756254146,0.399118122230885,0.0458319159402135,0.122272981869027,0.0825455147075797,-7.22440375838771,-26.76750751525,-18.1879696768251,-21.6364373337601,NaN,NaN,NaN,NaN,17.6433333333333,35.14,70.7366666666667,1,1,1,1,Failed,93,96
32,9301,9600,157.491666666667,1.27868874632886,1.38001116562983,1.30938473199208,1.25366152055808,0.74351949574557,-0.18696239644576,0.180472813721314,0.540862230452634,0.921038126690423,-14.4103906075395,-14.7279577598432,-3.8353352040664,NaN,NaN,NaN,NaN,16.3633333333333,32.6866666666667,65.36,1,1,1,1,Failed,94,96
33,9601,9900,162.491666666667,1.224927563287,1.50543021900205,1.30442719980164,1.25239314633072,0.62893167851011,0.0285073433582672,0.167993494738936,0.50944653243818,-1.84149776278439,-30.8973342571993,-15.3698221640494,-4.55306862914369,NaN,NaN,NaN,NaN,17.5066666666667,35.01,69.9066666666667,1,1,1,1,Failed,94,96
34,9901,10200,167.491666666667,1.49028610124149,1.55903204671481,1.53494845339297,1.49356235439579,0.286609761470184,-0.141584880639428,-0.0975257801827649,-0.112697550614877,-10.4819304692849,-16.8917180852757,-20.1761066848585,-18.9061985816201,NaN,NaN,NaN,NaN,17.2733333333333,34.5933333333333,69.0866666666667,1,1,1,1,Failed,93,96
35,10201,10500,172.491666666667,1.1267453098051,1.18037830752068,1.15221502337332,1.15775847234241,0.466564531305489,0.0471910703960946,0.189478965735417,0.270677966773952,-5.55557880846207,-26.5131209249462,-14.2899904553131,-11.0204902232393,NaN,NaN,NaN,NaN,16.35,32.65,65.2966666666667,1,1,1,1,Failed,94,96
