dataID,featureName,spo2Rmse,spo2Corr,spo2StdRatio,lowRecall,featureCorr,rSnr,rSnrDb,featureValidRatio,meanBeatCount,meanBeatValidRatio,meanRedPI,meanIRPI,baseTimeOffset,spo2TimeOffset,prTimeOffset,totalSpo2Offset,totalPROffset,windowCount
1009,beat30,2.86875343101863,0.433617932031602,0.584444092382378,0.137717748043423,-0.441192510600141,0.491627337347002,-6.16727951616497,0.999476503040309,27.4616840494503,0.999950804708788,0.0287307838070104,0.0556823298596454,-1500,-300,-1650,-1800,-3150,24839
1010,current,1.5727489386789,0.877530882105061,0.973701042456623,0.902373788030759,-0.877530871722672,1.83001878319542,5.24911094648027,1,NaN,NaN,0.00216244256881398,0.00418378638960554,-1500,-350,-1550,-1850,-3050,20982
1010,beat30,3.08798730244679,0.413465891377579,0.990655772445868,0.521899030424607,-0.4135741164589,0.454242215105693,-6.85425013964397,0.999332538736591,31.1139928486293,0.999953189280633,0.00735711196315778,0.0143145589045315,-1500,-350,-1550,-1850,-3050,20982
1011,current,2.52721384292711,0.416601599948624,0.751816692666047,0.598425196850394,-0.416601531944014,0.458262549437486,-6.7777126625326,1,NaN,NaN,0.00246668754197544,0.00438756176139525,-1500,-250,-1550,-1750,-3050,27746
1011,beat30,2.66675813327452,0.314702114790931,0.817218448461433,0.748031496062992,-0.314720233359781,0.331569089469057,-9.58851926682255,0.999639522728092,35.7637431959915,0.999940594035138,0.00696485405443579,0.0124925148574263,-1500,-250,-1550,-1750,-3050,27746
1012,current,2.55531953649256,0.685244635114275,0.782564487862405,0.454208129532805,-0.685163451618065,0.940655505222117,-0.531387968731191,1,NaN,NaN,0.00239700015834047,0.00475668022022901,-1500,100,-1100,-1400,-2600,23293
1012,beat30,3.54081064639799,0.265244134712762,0.92047363824753,0.280485748018216,-0.33132470612541,0.351159310043082,-9.0899162589372,0.938302348546649,26.4160405306771,0.999922867534706,0.00956784520890399,0.0191939427358675,-1500,100,-1100,-1400,-2600,23293
1013,current,2.37234365072016,0.532015105574268,1.58126284866203,0.994892747701736,-0.531998266330479,0.62828595176806,-4.03685301665751,1,NaN,NaN,0.00140539247452555,0.00265975933117667,0,1150,-50,1150,-50,24580
1013,beat30,2.5579588671216,0.205496131260513,1.42548061609417,0.433094994892748,-0.290241214490779,0.303297086793065,-10.3626352224562,0.947306267052164,27.569613552144,0.999095315874889,0.00516801187668775,0.0100782865651789,0,1150,-50,1150,-50,24580
1014,current,2.03837445900667,0.414129517585863,1.80942199601858,0.977628635346756,-0.410205720157868,0.44979041670506,-6.93979603876578,1,NaN,NaN,0.00146734825623193,0.00258696163242095,-1500,100,-1300,-1400,-2800,25176
1014,beat30,2.25404996253616,0.233091907743278,1.54770870866788,0.909395973154362,-0.230468072564519,0.236843938012052,-12.5107545300236,0.998768570747597,33.3607690474299,0.999931563155174,0.00445612462220706,0.00790479406408364,-1500,100,-1300,-1400,-2800,25176
1015,current,2.36476515451627,0.53183852549032,1.58096944001068,0.994892747701736,-0.531821694725769,0.627995163466514,-4.04087401977496,1,NaN,NaN,0.00140191877953109,0.00265372882842503,-1500,-350,-1550,-1850,-3050,24780
1015,beat30,2.54972760515829,0.206137345977304,1.42560252850582,0.4341164453524,-0.290403192836092,0.303481936121853,-10.3573430786656,0.947563880030679,27.5947604246559,0.999103826366074,0.00514468826455645,0.010033218383086,-1500,-350,-1550,-1850,-3050,24780
1016,current,1.56911256431486,0.454743769494939,0.881175679143145,0.797194054729824,-0.454743758159647,0.510591020071102,-5.83853655083368,1,NaN,NaN,0.003797085997525,0.00664772185594124,-1500,-450,-1850,-1950,-3350,22003
1016,beat30,1.6904334388752,0.353434851713274,0.899162840240061,0.775038199749965,-0.357954739811261,0.383356337903833,-8.32794704602068,0.999545330544694,30.3254069291625,0.999921094046452,0.0134797316900867,0.023648245817531,-1500,-450,-1850,-1950,-3350,22003
1017,current,2.20096364670167,0.366205454510402,1.28096020110266,0.692307692307692,-0.36620540738508,0.393543268319765,-8.10015023893323,1,NaN,NaN,0.00279916288971848,0.00484400280088211,0,1100,100,1100,100,15268
1017,beat30,2.44744796285729,0.311932374440398,1.38679115273585,0.692307692307692,-0.311932374440397,0.328313820084799,-9.67421671274542,1,32.5321395775941,1,0.0104694172975857,0.0179824781627428,0,1100,100,1100,100,15268
1018,current,1.08522602520209,0.684215841220408,0.761360473635673,0.96875,-0.684215892755092,0.938208023086697,-0.554017150067086,1,NaN,NaN,0.00293329985662506,0.00536159334060719,0,950,-100,950,-100,11495
1018,beat30,1.21782622840029,0.542531718798243,0.821016426105898,0.40625,-0.542531718798243,0.645843939781123,-3.79744822461446,1,34,1,0.0106720690492606,0.0194835450993274,0,950,-100,950,-100,11495
1019,current,1.28158629654583,0.270926207074547,0.832908388455298,0.41958041958042,-0.270926138808313,0.281452420246381,-11.011900248647,1,NaN,NaN,0.00259002003641592,0.00467247693013463,0,-6000,0,-6000,0,6984
1019,beat30,1.31796613485861,0.277965383835305,0.820895264195883,0.353146853146853,-0.270755223288544,0.281260813324731,-11.0178154343593,0.998397435897436,32.3662587412587,1,0.00884187864730111,0.0158914641398778,0,-6000,0,-6000,0,6984
1020,current,2.14441794640394,0.662504646968259,1.1809280385081,0.958372310570627,-0.65685110685772,0.871131852458125,-1.1983221246185,1,NaN,NaN,0.0017747495072759,0.00331689400333764,0,1150,0,1150,0,21087
1020,beat30,3.02509207435071,0.312999666433886,1.18741130811598,0.570626753975678,-0.326570162493517,0.345513652488437,-9.23069574824144,0.950246866691986,29.997863653627,1,0.00601455922949039,0.0113556489341571,0,1150,0,1150,0,21087
1022,current,2.10451674185966,0.398916708845439,0.708219649664564,0.971014492753623,-0.398916718231169,0.43502977528875,-7.22962034131845,1,NaN,NaN,0.00326667306831442,0.00585427414981358,-1500,-300,-1550,-1800,-3050,19107
1022,beat30,2.17807399014325,0.305568835275919,0.734494242815311,0.931159420289855,-0.307396981132011,0.323038041871067,-9.81492661827914,0.999267054080938,32.1549657086016,1,0.0116499820615106,0.0208955681546889,-1500,-300,-1550,-1800,-3050,19107
1023,current,1.20153729952584,0.846367587170089,1.00663268179157,0.935104752171691,-0.845412008019349,1.58282850583561,3.98867726119027,1,NaN,NaN,0.00196079694313842,0.00394727083593451,-1500,-250,-1400,-1750,-2900,22468
1023,beat30,2.80044412185715,0.301759586980442,1.18385138003391,0.43382728666326,-0.316365323319734,0.333494454048016,-9.5382276785091,0.986021457507902,31.929484040422,0.999911383854408,0.00620295932962895,0.0126340637597776,-1500,-250,-1400,-1750,-2900,22468
